address,moniker,commission,rank,token,votingPower,timestamp
injvaloper1an6hyf4h2au53aa3tuy6yjjr4edsd2xvg5kc2p,TTT VN,0.1,44,342095,0.006084,1765152000000
injvaloper1ntn4j2lsu3k60g8xj9pqshqvdj2q5tygyvczpy,Ledger by Chorus One,0.08,45,335179,0.005961,1765152000000
injvaloper1pff5lusdc9htm0z96l02a0yh9e6erphrllndet,gumi,0.1,46,324472,0.005771,1765152000000
injvaloper1hf2y3x956cw9v43ruj060zjdamwh9xs2ezja8p,Outlier Ventures,1,47,300003,0.005336,1765152000000
injvaloper1guh04j8x8fxpax3ghf7wlf798xey8576kyfwza,KDAC,0.1,48,299998,0.005336,1765152000000
injvaloper1h37jxecva2xgm78ejw3683vrw932j6nuzgdxgj,Talis Protocol,0.05,49,198437,0.003529,1765152000000
injvaloper1v2wjf06nutm9phvh5hgc3twpst9q50y4f8ckd5,PRYZM  StakeDrop,0.05,50,165178,0.002938,1765152000000
injvaloper1nj2fs96zjs4zln4cxuhha2jxhcmzqj5mprmugx,Mblock,0.1,51,149851,0.002665,1765152000000
injvaloper15y9lns6gnhcp8jlkfqmxqgtlff4racajqst5ar,GalaxyDigital,0.1,51,74776,0.00133,1765152000000
injvaloper1ee7xnhczhvu064utmdn48sh0wx7zq3pgy6frgm,Stakecito,0.05,51,73315,0.001304,1765152000000
